# x_m,y_m,w_tr_right_m,w_tr_left_m
-45.7904,192.7708,0.8154,0.8154
-45.7904,192.8353,0.7973,0.7973
-45.7904,192.8997,0.7842,0.7842
-45.7904,192.9642,0.7762,0.7762
-45.7904,193.0286,0.7735,0.7735
-45.7904,193.0931,0.7735,0.7735
-45.7904,193.1576,0.7735,0.7735
-45.7904,193.2220,0.7735,0.7735
-45.7904,193.2865,0.7735,0.7735
-45.7904,193.3509,0.7735,0.7735
-45.7904,193.4154,0.7735,0.7735
-45.7904,193.4799,0.7735,0.7735
-45.7904,193.5443,0.7735,0.7735
-45.7904,193.6088,0.7735,0.7735
-45.7904,193.6732,0.7735,0.7735
-45.7904,193.7377,0.7735,0.7735
-45.7904,193.8022,0.7735,0.7735
-45.7904,193.8666,0.7735,0.7735
-45.7904,193.9311,0.7735,0.7735
-45.7904,193.9955,0.7735,0.7735
-45.7904,194.0600,0.7735,0.7735
-45.7904,194.1245,0.7735,0.7735
-45.7904,194.1889,0.7735,0.7735
-45.7904,194.2534,0.7735,0.7735
-45.7904,194.3178,0.7735,0.7735
-45.7904,194.3823,0.7735,0.7735
-45.7904,194.4468,0.7762,0.7762
-45.7904,194.5112,0.7842,0.7842
-45.7904,194.5757,0.7973,0.7973
-45.7904,194.6401,0.8154,0.8154
-45.7904,194.7046,0.8380,0.8380
-45.7904,194.7691,0.8380,0.8380
-45.7904,194.8335,0.8380,0.8380
-45.7904,194.8980,0.8380,0.8380
-45.7904,194.9624,0.8380,0.8380
-45.7904,195.0269,0.8380,0.8380
-45.7904,195.0914,0.8380,0.8380
-45.7904,195.1558,0.8380,0.8380
-45.7904,195.2203,0.8380,0.8380
-45.8549,195.2847,0.8380,0.8380
-45.8549,195.3492,0.8380,0.8380
-45.8549,195.4137,0.8380,0.8380
-45.8549,195.4781,0.8380,0.8380
-45.8549,195.5426,0.8380,0.8380
-45.8549,195.6070,0.8380,0.8380
-45.8549,195.6715,0.8380,0.8380
-45.8549,195.7360,0.8380,0.8380
-45.8549,195.8004,0.8380,0.8380
-45.9193,195.8649,0.7735,0.7735
-45.9193,195.9293,0.7735,0.7735
-45.9193,195.9938,0.7735,0.7735
-45.9193,196.0583,0.7735,0.7735
-45.9193,196.1227,0.7735,0.7735
-45.9193,196.1872,0.7735,0.7735
-45.9193,196.2516,0.7735,0.7735
-45.9193,196.3161,0.7735,0.7735
-45.9193,196.3806,0.7762,0.7762
-45.9193,196.4450,0.7842,0.7842
-45.9193,196.5095,0.7973,0.7973
-45.9193,196.5739,0.8154,0.8154
-45.9193,196.6384,0.8380,0.8380
-45.9193,196.7029,0.8380,0.8380
-45.9193,196.7673,0.8380,0.8380
-45.9193,196.8318,0.8380,0.8380
-45.9193,196.8962,0.8380,0.8380
-45.9193,196.9607,0.8380,0.8380
-45.9838,197.0252,0.8380,0.8380
-45.9838,197.0896,0.8380,0.8380
-46.0483,197.1541,0.7735,0.7735
-46.0483,197.2185,0.7735,0.7735
-46.0483,197.2830,0.7735,0.7735
-46.0483,197.3475,0.7735,0.7735
-46.0483,197.4119,0.7735,0.7735
-46.0483,197.4764,0.7735,0.7735
-46.0483,197.5408,0.7762,0.7762
-46.0483,197.6053,0.7842,0.7842
-46.0483,197.6698,0.7973,0.7973
-46.0483,197.7342,0.8154,0.8154
-46.0483,197.7987,0.8380,0.8380
-46.1127,197.8631,0.8077,0.8077
-46.1127,197.9276,0.8380,0.8380
-46.1127,197.9921,0.8380,0.8380
-46.1127,198.0565,0.8380,0.8380
-46.1127,198.1210,0.8380,0.8380
-46.1127,198.1854,0.8405,0.8405
-46.1127,198.2499,0.8380,0.8380
-46.1772,198.3144,0.7973,0.7973
-46.1772,198.3788,0.8154,0.8154
-46.1772,198.4433,0.8380,0.8380
-46.2416,198.5077,0.8077,0.8077
-46.2416,198.5722,0.8380,0.8380
-46.2416,198.6367,0.8380,0.8380
-46.2416,198.7011,0.8380,0.8380
-46.2416,198.7656,0.8380,0.8380
-46.2416,198.8300,0.8405,0.8405
-46.3061,198.8945,0.7842,0.7842
-46.3061,198.9590,0.7973,0.7973
-46.3706,199.0234,0.7545,0.7545
-46.3706,199.0879,0.7789,0.7789
-46.3706,199.1523,0.8077,0.8077
-46.3706,199.2168,0.8380,0.8380
-46.3706,199.2813,0.8380,0.8380
-46.3706,199.3457,0.8380,0.8380
-46.3706,199.4102,0.8380,0.8380
-46.3706,199.4746,0.8154,0.8154
-46.4350,199.5391,0.7842,0.7842
-46.4995,199.6036,0.7350,0.7350
-46.4995,199.6680,0.7545,0.7545
-46.4995,199.7325,0.7789,0.7789
-46.4995,199.7969,0.8077,0.8077
-46.4995,199.8614,0.8380,0.8380
-46.4995,199.9259,0.8380,0.8380
-46.4995,199.9903,0.8154,0.8154
-46.4995,200.0548,0.7973,0.7973
-46.4995,200.1192,0.7842,0.7842
-46.5639,200.1837,0.7842,0.7842
-46.6284,200.2482,0.7350,0.7350
-46.6284,200.3126,0.7545,0.7545
-46.6284,200.3771,0.7789,0.7789
-46.6284,200.4415,0.8077,0.8077
-46.6284,200.5060,0.8380,0.8380
-46.6284,200.5705,0.8380,0.8380
-46.6284,200.6349,0.8154,0.8154
-46.6929,200.6994,0.7735,0.7735
-46.6929,200.7638,0.7762,0.7762
-46.7573,200.8283,0.7207,0.7207
-46.7573,200.8928,0.7350,0.7350
-46.7573,200.9572,0.7545,0.7545
-46.7573,201.0217,0.7789,0.7789
-46.7573,201.0861,0.8077,0.8077
-46.7573,201.1506,0.8154,0.8154
-46.7573,201.2151,0.7973,0.7973
-46.8218,201.2795,0.7973,0.7973
-46.8218,201.3440,0.8154,0.8154
-46.8218,201.4084,0.8380,0.8380
-46.8862,201.4729,0.8077,0.8077
-46.8862,201.5374,0.8405,0.8405
-46.8862,201.6018,0.8380,0.8380
-46.8862,201.6663,0.8154,0.8154
-46.9507,201.7307,0.8154,0.8154
-46.9507,201.7952,0.8380,0.8380
-47.0152,201.8597,0.8077,0.8077
-47.0152,201.9241,0.8405,0.8405
-47.0152,201.9886,0.8478,0.8478
-47.0152,202.0530,0.8600,0.8600
-47.0796,202.1175,0.8154,0.8154
-47.0796,202.1820,0.8380,0.8380
-47.1441,202.2464,0.8077,0.8077
-47.1441,202.3109,0.8405,0.8405
-47.1441,202.3753,0.8478,0.8478
-47.1441,202.4398,0.8600,0.8600
-47.2085,202.5043,0.8154,0.8154
-47.2085,202.5687,0.8380,0.8380
-47.2730,202.6332,0.8077,0.8077
-47.2730,202.6976,0.8405,0.8405
-47.2730,202.7621,0.8768,0.8768
-47.3375,202.8266,0.8380,0.8380
-47.3375,202.8910,0.8648,0.8648
-47.3375,202.9555,0.8768,0.8768
-47.4019,203.0199,0.8768,0.8768
-47.4019,203.0844,0.8648,0.8648
-47.4664,203.1489,0.8648,0.8648
-47.4664,203.2133,0.8768,0.8768
-47.5308,203.2778,0.8478,0.8478
-47.5308,203.3422,0.8600,0.8600
-47.5953,203.4067,0.8154,0.8154
-47.5953,203.4712,0.8380,0.8380
-47.6598,203.5356,0.8077,0.8077
-47.6598,203.6001,0.8405,0.8405
-47.6598,203.6645,0.8768,0.8768
-47.6598,203.7290,0.8648,0.8648
-47.7242,203.7935,0.8648,0.8648
-47.7242,203.8579,0.8768,0.8768
-47.7887,203.9224,0.8768,0.8768
-47.7887,203.9868,0.8978,0.8978
-47.8531,204.0513,0.8648,0.8648
-47.8531,204.1158,0.8955,0.8955
-47.9176,204.1802,0.8478,0.8478
-47.9176,204.2447,0.8600,0.8600
-47.9176,204.3091,0.8768,0.8768
-47.9176,204.3736,0.8648,0.8648
-47.9821,204.4381,0.8648,0.8648
-48.0465,204.5025,0.8405,0.8405
-48.0465,204.5670,0.8768,0.8768
-48.0465,204.6314,0.8978,0.8978
-48.1110,204.6959,0.8648,0.8648
-48.1110,204.7604,0.8955,0.8955
-48.1754,204.8248,0.8768,0.8768
-48.1754,204.8893,0.8978,0.8978
-48.2399,204.9537,0.8648,0.8648
-48.2399,205.0182,0.8955,0.8955
-48.3044,205.0827,0.8478,0.8478
-48.3044,205.1471,0.8600,0.8600
-48.3044,205.2116,0.8768,0.8768
-48.3044,205.2760,0.8648,0.8648
-48.3688,205.3405,0.8648,0.8648
-48.4333,205.4050,0.8405,0.8405
-48.4333,205.4694,0.8768,0.8768
-48.4333,205.5339,0.8978,0.8978
-48.4333,205.5983,0.8955,0.8955
-48.4333,205.6628,0.8648,0.8648
-48.4977,205.7273,0.8978,0.8978
-48.5622,205.7917,0.8600,0.8600
-48.5622,205.8562,0.8768,0.8768
-48.5622,205.9206,0.8978,0.8978
-48.6267,205.9851,0.8648,0.8648
-48.6267,206.0496,0.8955,0.8955
-48.6911,206.1140,0.8478,0.8478
-48.6911,206.1785,0.8600,0.8600
-48.6911,206.2429,0.8768,0.8768
-48.6911,206.3074,0.8978,0.8978
-48.7556,206.3719,0.8648,0.8648
-48.7556,206.4363,0.8955,0.8955
-48.8200,206.5008,0.8380,0.8380
-48.8200,206.5652,0.8380,0.8380
-48.8200,206.6297,0.8380,0.8380
-48.8200,206.6942,0.8380,0.8380
-48.8845,206.7586,0.7735,0.7735
-48.8845,206.8231,0.7735,0.7735
-48.9490,206.8875,0.7091,0.7091
-48.9490,206.9520,0.7120,0.7120
-48.9490,207.0165,0.7207,0.7207
-48.9490,207.0809,0.7350,0.7350
