# x_m,y_m,w_tr_right_m,w_tr_left_m
-42.2276,-4.2092,1.2630,1.2630
-42.2927,-4.2742,1.2830,1.2830
-42.3577,-4.3393,1.2879,1.2879
-42.4228,-4.4043,1.2879,1.2879
-42.4878,-4.4694,1.2879,1.2879
-42.5529,-4.5344,1.2879,1.2879
-42.6179,-4.5995,1.2879,1.2879
-42.6830,-4.6645,1.2830,1.2830
-42.7480,-4.7296,1.2630,1.2630
-42.8131,-4.7946,1.2496,1.2496
-42.8781,-4.8597,1.2274,1.2274
-42.9432,-4.8597,1.2630,1.2630
-43.0082,-4.8597,1.2274,1.2274
-43.0733,-4.9247,1.2513,1.2513
-43.1383,-4.9247,1.2222,1.2222
-43.2034,-4.9898,1.2563,1.2563
-43.2684,-4.9898,1.2342,1.2342
-43.3335,-4.9898,1.2152,1.2152
-43.3985,-4.9898,1.1959,1.1959
-43.4636,-4.9898,1.1727,1.1727
-43.5286,-5.0548,1.2152,1.2152
-43.5937,-5.0548,1.1995,1.1995
-43.6587,-5.0548,1.1871,1.1871
-43.7238,-5.0548,1.1781,1.1781
-43.7888,-5.0548,1.1727,1.1727
-43.8539,-5.1199,1.2359,1.2359
-43.9189,-5.1199,1.2359,1.2359
-43.9840,-5.1199,1.2359,1.2359
-44.0490,-5.1199,1.2359,1.2359
-44.1141,-5.1199,1.2359,1.2359
-44.1791,-5.1199,1.2359,1.2359
-44.2442,-5.1199,1.2359,1.2359
-44.3092,-5.1199,1.2359,1.2359
-44.3743,-5.1199,1.2359,1.2359
-44.4393,-5.1199,1.2359,1.2359
-44.5044,-5.1199,1.2359,1.2359
-44.5694,-5.0548,1.1727,1.1727
-44.6345,-5.0548,1.1781,1.1781
-44.6995,-5.0548,1.1871,1.1871
-44.7646,-5.0548,1.1995,1.1995
-44.8296,-5.0548,1.2152,1.2152
-44.8947,-5.0548,1.2342,1.2342
-44.9597,-5.0548,1.2563,1.2563
-45.0248,-5.0548,1.2630,1.2630
-45.0898,-4.9898,1.2342,1.2342
-45.1549,-4.9898,1.2513,1.2513
-45.2199,-4.9898,1.2630,1.2630
-45.2850,-4.9898,1.2563,1.2563
-45.3500,-4.9898,1.2342,1.2342
-45.4151,-4.9247,1.2513,1.2513
-45.4801,-4.9247,1.2630,1.2630
-45.5452,-4.9247,1.2513,1.2513
-45.6102,-4.8597,1.2342,1.2342
-45.6753,-4.8597,1.2563,1.2563
-45.7403,-4.8597,1.2563,1.2563
-45.8054,-4.7946,1.2342,1.2342
-45.8704,-4.7946,1.2563,1.2563
-45.9355,-4.7946,1.2563,1.2563
-46.0005,-4.7296,1.2342,1.2342
-46.0656,-4.7296,1.2563,1.2563
-46.1306,-4.6645,1.2222,1.2222
-46.1957,-4.6645,1.2513,1.2513
-46.2607,-4.6645,1.2513,1.2513
-46.3258,-4.5995,1.2513,1.2513
-46.3908,-4.5995,1.2513,1.2513
-46.4559,-4.5344,1.2630,1.2630
-46.5209,-4.5344,1.2496,1.2496
-46.5860,-4.4694,1.2630,1.2630
-46.6510,-4.4043,1.2630,1.2630
-46.7161,-4.3393,1.2496,1.2496
-46.7811,-4.3393,1.2496,1.2496
-46.8462,-4.2742,1.2630,1.2630
-46.9112,-4.2092,1.2630,1.2630
-46.9763,-4.1441,1.2496,1.2496
-46.9763,-4.0791,1.2428,1.2428
-47.0413,-4.0140,1.2496,1.2496
-47.1064,-3.9490,1.2630,1.2630
-47.1714,-3.8839,1.2563,1.2563
-47.1714,-3.8189,1.2513,1.2513
-47.1714,-3.7538,1.2222,1.2222
-47.2365,-3.6888,1.2513,1.2513
-47.3015,-3.6237,1.2513,1.2513
-47.3015,-3.5587,1.2563,1.2563
-47.3015,-3.4936,1.2342,1.2342
-47.3015,-3.4286,1.2152,1.2152
-47.3015,-3.3635,1.1995,1.1995
-47.3015,-3.2985,1.1871,1.1871
-47.3666,-3.2334,1.2428,1.2428
-47.3666,-3.1684,1.2342,1.2342
-47.3666,-3.1033,1.2152,1.2152
-47.3666,-3.0383,1.1995,1.1995
-47.3666,-2.9732,1.1871,1.1871
-47.4316,-2.9082,1.2428,1.2428
-47.4316,-2.8431,1.2377,1.2377
-47.4316,-2.7781,1.2359,1.2359
-47.4316,-2.7130,1.2359,1.2359
-47.4316,-2.6480,1.2359,1.2359
-47.4316,-2.5829,1.2359,1.2359
-47.4316,-2.5179,1.2359,1.2359
-47.4316,-2.4528,1.2377,1.2377
-47.4316,-2.3878,1.2428,1.2428
-47.4316,-2.3227,1.2513,1.2513
-47.3666,-2.2577,1.1995,1.1995
-47.3666,-2.1926,1.2152,1.2152
-47.3666,-2.1276,1.2342,1.2342
-47.3666,-2.0625,1.2377,1.2377
-47.3666,-1.9975,1.2428,1.2428
-47.3666,-1.9324,1.2513,1.2513
-47.3666,-1.8674,1.2630,1.2630
-47.3015,-1.8023,1.2152,1.2152
-47.3015,-1.7373,1.2342,1.2342
-47.3015,-1.6722,1.2563,1.2563
-47.3015,-1.6072,1.2780,1.2780
-47.2365,-1.5421,1.2342,1.2342
-47.2365,-1.4771,1.2563,1.2563
-47.2365,-1.4120,1.2780,1.2780
-47.2365,-1.3470,1.2563,1.2563
-47.1714,-1.2819,1.2563,1.2563
-47.1714,-1.2169,1.2780,1.2780
-47.1714,-1.1518,1.2513,1.2513
-47.1064,-1.0868,1.2563,1.2563
-47.1064,-1.0217,1.2513,1.2513
-47.0413,-0.9567,1.2513,1.2513
-47.0413,-0.8916,1.2563,1.2563
-46.9763,-0.8266,1.2513,1.2513
-46.9763,-0.7615,1.2780,1.2780
-46.9763,-0.6965,1.2513,1.2513
-46.9112,-0.6314,1.2813,1.2813
-46.9112,-0.5664,1.2513,1.2513
-46.8462,-0.5013,1.2813,1.2813
-46.8462,-0.4363,1.2513,1.2513
-46.7811,-0.3712,1.2813,1.2813
-46.7811,-0.3062,1.2513,1.2513
-46.7161,-0.2411,1.2813,1.2813
-46.7161,-0.1761,1.2513,1.2513
-46.6510,-0.1110,1.2813,1.2813
-46.6510,-0.0460,1.2513,1.2513
-46.5860,0.0191,1.2813,1.2813
-46.5860,0.0841,1.2513,1.2513
-46.5209,0.1492,1.2813,1.2813
-46.5209,0.2142,1.2513,1.2513
-46.4559,0.2793,1.2813,1.2813
-46.4559,0.3443,1.2513,1.2513
-46.3908,0.4094,1.2780,1.2780
-46.3908,0.4744,1.2513,1.2513
-46.3908,0.5395,1.2222,1.2222
-46.3908,0.6045,1.1959,1.1959
-46.3258,0.6696,1.2342,1.2342
-46.3258,0.7346,1.2152,1.2152
-46.3258,0.7997,1.1959,1.1959
-46.3258,0.8647,1.1727,1.1727
-46.3258,0.9298,1.1527,1.1527
-46.3258,0.9948,1.1360,1.1360
-46.2607,1.0599,1.1871,1.1871
-46.2607,1.1249,1.1781,1.1781
-46.2607,1.1900,1.1727,1.1727
-46.2607,1.2550,1.1709,1.1709
-46.2607,1.3201,1.1709,1.1709
-46.2607,1.3851,1.1709,1.1709
-46.1957,1.4502,1.2359,1.2359
-46.2607,1.5152,1.1709,1.1709
-46.2607,1.5803,1.1709,1.1709
-46.2607,1.6453,1.1709,1.1709
-46.2607,1.7104,1.1727,1.1727
-46.2607,1.7754,1.1781,1.1781
-46.2607,1.8405,1.1871,1.1871
-46.3258,1.9055,1.1360,1.1360
-46.3258,1.9706,1.1527,1.1527
-46.3258,2.0356,1.1727,1.1727
-46.3258,2.1007,1.1959,1.1959
-46.3258,2.1657,1.2152,1.2152
-46.3258,2.2308,1.2342,1.2342
-46.3908,2.2958,1.1959,1.1959
-46.3908,2.3609,1.2222,1.2222
-46.3908,2.4259,1.2513,1.2513
-46.4559,2.4910,1.2222,1.2222
-46.4559,2.5560,1.2513,1.2513
-46.4559,2.6211,1.2630,1.2630
-46.5209,2.6861,1.2630,1.2630
-46.5860,2.7512,1.2496,1.2496
-46.5860,2.8162,1.2630,1.2630
-46.6510,2.8813,1.2630,1.2630
-46.7161,2.9463,1.2496,1.2496
-46.7161,3.0114,1.2496,1.2496
-46.7811,3.0764,1.2630,1.2630
-46.8462,3.1415,1.2830,1.2830
-46.9112,3.2065,1.2879,1.2879
-46.9763,3.2716,1.2879,1.2879
-47.0413,3.3366,1.2879,1.2879
-47.1064,3.4017,1.2830,1.2830
-47.1714,3.4667,1.2630,1.2630
-47.2365,3.5318,1.2496,1.2496
-47.3015,3.5318,1.2496,1.2496
-47.3666,3.5968,1.2630,1.2630
-47.4316,3.6619,1.2630,1.2630
-47.4967,3.6619,1.2496,1.2496
-47.5617,3.7269,1.2630,1.2630
-47.6268,3.7920,1.2630,1.2630
-47.6918,3.7920,1.2513,1.2513
-47.7569,3.8570,1.2813,1.2813
-47.8219,3.9221,1.2513,1.2513
-47.8870,3.9221,1.2630,1.2630
-47.9520,3.9871,1.2513,1.2513
-48.0171,3.9871,1.2513,1.2513
-48.0821,3.9871,1.2222,1.2222
-48.1472,4.0522,1.2513,1.2513
-48.2122,4.0522,1.2222,1.2222
-48.2773,4.1172,1.2563,1.2563
-48.3423,4.1172,1.2342,1.2342
-48.4074,4.1823,1.2780,1.2780
-48.4724,4.1823,1.2513,1.2513
-48.5375,4.1823,1.2222,1.2222
-48.6025,4.2473,1.2563,1.2563
-48.6676,4.2473,1.2342,1.2342
-48.7326,4.2473,1.2152,1.2152
-48.7977,4.3124,1.2563,1.2563
-48.8627,4.3124,1.2342,1.2342
-48.9278,4.3124,1.2152,1.2152
-48.9928,4.3774,1.2563,1.2563
-49.0579,4.3774,1.2342,1.2342
-49.1229,4.3774,1.2152,1.2152
-49.1880,4.3774,1.1995,1.1995
-49.2530,4.4425,1.2513,1.2513
-49.3181,4.4425,1.2342,1.2342
-49.3831,4.4425,1.2152,1.2152
-49.4482,4.4425,1.1995,1.1995
-49.5132,4.4425,1.1871,1.1871
-49.5783,4.4425,1.1781,1.1781
-49.6433,4.5075,1.2377,1.2377
-49.7084,4.5075,1.2342,1.2342
-49.7734,4.5075,1.2152,1.2152
-49.8385,4.5075,1.1995,1.1995
-49.9035,4.5075,1.1871,1.1871
-49.9686,4.5075,1.1781,1.1781
-50.0336,4.5075,1.1727,1.1727
-50.0987,4.5075,1.1709,1.1709
-50.1637,4.5075,1.1709,1.1709
-50.2288,4.5726,1.2359,1.2359
-50.2938,4.5726,1.2359,1.2359
-50.3589,4.5726,1.2359,1.2359
-50.4239,4.5726,1.2359,1.2359
-50.4890,4.5726,1.2359,1.2359
-50.5540,4.5726,1.2359,1.2359
-50.6191,4.5726,1.2359,1.2359
